Company Name,Hourly Rate,Number of Employees,Founding Year,Location,Cloud Computing Focus Area Percentage,Brief Description,Microsoft/Azure Indication,Last Year Revenue,Website,Microsoft Gold Certified Partner,Microsoft FastTrack Partner,Elite Enterprise Mobility + Security & Windows 10 Premier Partner,Azure Circle Partner,Leading System Centre Partner
Quartech Systems Ltd.,$90-120/hr,50-100,1984,Vancouver,70%,"Award-winning business and IT solutions firm delivering innovative Microsoft solutions through offices in Vancouver and Victoria. Expertise in Dynamics 365, DevOps, and Azure.",Yes,NA,https://www.quartech.com,Yes,No,No,No,No
ProServeIT Corporation,$85-115/hr,50-100,2002,Oakville,80%,"Microsoft Cloud Solution Provider helping organizations unlock their digital future with expertise in Microsoft 365, Azure, and cloud infrastructure.",Yes,NA,https://www.proserveit.com,Yes,Yes,No,No,No
Carbon60,$90-125/hr,50+,NA,Toronto,75%,Leading end-to-end managed cloud services provider with expertise in Azure offering secure managed cloud solutions for public and private sector organizations with business-critical workloads.,Yes,NA,https://www.carbon60.com,Yes,No,No,No,No
Assembly,$95-130/hr,10-50,NA,Toronto,90%,Canadian-based team of Azure specialists focusing on secure cloud-native software development and application modernization with 15+ years of Microsoft development experience.,Yes,NA,https://assemblyhq.com,Yes,No,No,No,No
Softlanding,$90-120/hr,100+,NA,Vancouver,65%,Award-winning Canadian Microsoft partner with 100+ Microsoft-certified professionals and 10 Microsoft Specializations including Azure Migrate and Modernize program participation.,Yes,NA,https://www.softlanding.ca,Yes,Yes,No,No,No
Dynamics Square,$80-110/hr,25-50,NA,Toronto,60%,"Toronto-based Microsoft Dynamics 365 implementation specialist working with small and mid-market companies in Ontario and across Canada, providing Azure integration services.",Yes,NA,https://www.dynamicssquare.ca,Yes,No,No,No,No
XCentium,$85-115/hr,50-100,2010,Vancouver,80%,"Digital consultancy specializing in Azure cloud services, application modernization, and enterprise solutions for Canadian businesses.",Yes,NA,https://www.xcentium.com,Yes,No,No,No,No
Bulletproof,$80-110/hr,30-50,2000,Fredericton,75%,"Microsoft Gold Partner providing Azure cloud solutions, managed security services, and IT consulting to Canadian organizations.",Yes,NA,https://www.bulletproofsi.com,Yes,No,No,No,No
New Signature Canada (now part of Cognizant),$90-125/hr,50-100,2003,Toronto,85%,"Focuses on Microsoft cloud solutions including Azure, Microsoft 365, and Dynamics 365 with expertise in digital transformation.",Yes,NA,https://www.cognizant.com,Yes,Yes,No,No,No
360 Visibility,$80-105/hr,25-50,2002,Toronto,70%,"Microsoft Dynamics and Azure cloud solutions provider specializing in ERP, CRM and business intelligence implementations.",Yes,NA,https://www.360visibility.com,Yes,No,No,No,No
Velosio,$85-115/hr,80-100,1988,Toronto,65%,Business management solution provider specializing in Microsoft Dynamics 365 and Azure cloud infrastructure for Canadian businesses.,Yes,NA,https://www.velosio.com,Yes,No,No,No,No
Sierra Systems (now part of NTT DATA),$95-130/hr,50-100,1966,Vancouver,60%,IT and management consulting firm delivering Azure cloud solutions and Microsoft services to Canadian public and private sector clients.,Yes,NA,https://www.nttdata.com/ca/en/,Yes,No,No,No,No
iSoftStone Canada,$85-110/hr,30-50,2001,Vancouver,75%,"IT consulting firm offering Azure cloud services, application development and managed services to Canadian organizations.",Yes,NA,https://www.isoftstoneinc.com,Yes,No,No,No,No
Adastra Corporation,$90-120/hr,50-100,2000,Toronto,70%,Data management and analytics company leveraging Azure cloud technologies for business intelligence and digital transformation.,Yes,NA,https://www.adastragrp.com,Yes,No,No,No,No
Avanade Canada,$100-150/hr,100+,2000,Toronto,90%,"Microsoft-focused consulting firm specializing in Azure cloud services, digital innovation and business solutions.",Yes,NA,https://www.avanade.com/en-ca,Yes,Yes,No,No,No
